#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	Result	Control	Discipline	Comment
# Updated 2023 Jun 05 04:17:39
S55070	2023-001BP	Flock 4y-26	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55071	2023-001BQ	Flock 4y-8	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55072	2023-001BR	STAR SPHERE 1	2023 Jan  3 	2023 Feb 28	*	*	-	Sony	-	-	-	B	IMG	[J]	-	-	-	-	-	S	-	-	-
S55073	2023-001BS	TAUSat3	2023 Jan  3 	2023 Mar	*	*	-	TAU	-	-	-	A	SCI	[IL]	-	-	-	-	-	S	-	-	-
S55074	2023-001BT	Flock 4y-2	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55075	2023-001BU	Flock 4y-31	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55076	2023-001BV	YAM-5	2023 Jan  3 	2023 Mar  9	*	*	-	LOFT	-	-	-	B	TECH	[US]	-	-	-	-	-	S	-	-	-
S55077	2023-001BW	Flock 4y-21	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55078	2023-001BX	Flock 4y-36	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55079	2023-001BY	Flock 4y-13	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55080	2023-001BZ	Flock 4y-23	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55081	2023-001CA	PolyITAN-HP-30	2023 Jan  3 	2023 Jan  3	2023 Jan  3	2023 Jan  3	-	ITAN	-	-	-	A	TECH	[UA]	-	-	-	-	-	F	-	-	-
S55082	2023-001CB	Flock 4y-34	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55083	2023-001CC	Flock 4y-27	2023 Jan  3 	2023 Mar	*	*	-	Flock-4	-	-	-	B	IMG	[US]	-	-	-	-	-	S	-	-	-
S55084	2023-001CD	GAMA Alpha	2023 Jan  3 	2023 Jan  3	*	*	-	GAMA	-	-	-	B	TECH	[F]	-	-	-	-	-	S	-	-	-
S55085	2023-001CE	KSF3-D	2023 Jan  3 	2023 Jan  3	*	*	-	Kleos	-	-	-	B	SIG	[L]	-	-	-	-	-	S	-	-	-
S55086	2023-001CF	KSF3-A	2023 Jan  3 	2023 Jan  3	*	*	-	Kleos	-	-	-	B	SIG	[L]	-	-	-	-	-	S	-	-	-
S55087	2023-001CG	SpaceBEE-167	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55088	2023-001CH	Lemur-2 Fuentetaja-01	2023 Jan  3 	2023 Jan  3	*	*	-	Spire	-	-	-	B	COM/MET-RO	[US]	-	-	-	-	-	S	-	-	-
S55089	2023-001CJ	SpaceBEE-163	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55090	2023-001CK	Chimera LEO-1	2023 Jan  3 	2023 Jan  3	2023 Jan  3	2023 Jan  3	-	Epic	-	-	M	B	TECH	[US]	-	-	-	-	-	F	-	-	-
S55091	2023-001CL	SpaceBEE-164	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55092	2023-001CM	SpaceBEE-166	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55093	2023-001CN	Huygens	2023 Jan  3 	2023 Mar	*	*	-	NLR	-	-	 -	C	SIG	[NL]	-	-	-	-	-	S	-	-	-
S55094	2023-001CP	SpaceBEE-165	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55095	2023-001CQ	SpaceBEE-162	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55096	2023-001CR	SpaceBEE-161	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55097	2023-001CS	SpaceBEE-160	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55098	2023-001CT	BDSAT-2	2023 Jan  3 	2023 Mar	*	*	-	CEITEC	-	-	-	A	TECH	[CZ]	-	-	-	-	-	S	-	-	-
S55099	2023-001CU	SpaceBEE-156	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55100	2023-001CV	SpaceBEE-158	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55101	2023-001CW	SpaceBEE-159	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55102	2023-001CX	SpaceBEE-157	2023 Jan  3 	2023 Jan  3	*	*	-	Swarm	-	-	-	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55103	2023-001CY	KuwaitSat-1	2023 Jan  3 	2023 Jan  3	*	*	-	Kuwait U	-	-	-	A	TECH	[KW]	-	-	-	-	-	S	-	-	-
S55104	2023-001CZ	Sharjah-Sat-1	2023 Jan  3 	2023 Mar	*	*	-	Sharjah	-	-	-	A	TECH	[UAE]	-	-	-	-	-	S	-	-	-
S55105	2023-001DA	FUTURA-SM1	2023 Jan  3 	2023 Jan 18	2023 Apr?	2023 Apr?	-	SpMind	-	-	-	B	TECH	[I]	-	-	-	-	-	S	-	-	-
S55106	2023-001DB	FUTURA-SM3	2023 Jan  3 	2023 Jan 20	2023 Apr?	2023 Apr?	-	SpMind	-	-	-	B	TECH	[I]	-	-	-	-	-	S	-	-	-
S55107	2023-001DC	Kelpie-1	2023 Jan  3 	2023 Mar  1	*	*	-	Kelpie	-	-	-	B	COM	[UK]	-	-	-	-	-	S	-	-	-
S55108	2023-001DD	Zeus-1	2023 Jan  3 	2023 May 10	*	*	-	Qosmo	-	-	-	B	TECH	[SG]	-	-	-	-	-	S	-	-	-
S55123	1998-067UQ	MARIO	2022 Nov 26 	2023 Mar	2023 Apr?	2023 Apr?	-	UMI	-	-	-	A	TECH	[US]	-	-	-	-	-	S	-	-	-
S55124	1998-067UR	NUTSAT	2022 Nov 26 	2023 Mar	2023 Mar	2023 Mar	-	NFU	-	-	-	A	TECH	[TW]	-	-	-	-	-	S	-	-	-
S55125	1998-067US	LORIS	2022 Nov 26 	2022 Nov 26	2023 May?	2023 May?	-	DalU	-	-	-	A	IMG	[CA]	-	-	-	-	-	S	-	-	-
S55126	1998-067UT	ORCASat	2022 Nov 26 	2022 Nov 26	*	*	-	UVic	-	-	-	A	TECH	[CA]	-	-	-	-	-	S	-	-	-
S55127	1998-067UU	DANTESat	2022 Nov 26 	2022 Dec 30	2022 Dec 30?	2022 Dec 30?	-	SpMind	-	-	-	B	TECH	[I]	-	-	-	-	-	S	-	-	-
S55128	1998-067UV	TJREVERB	2022 Nov 26 	2022 Dec 29	2022 Dec 29	2022 Dec 29	-	TJHS	-	-	-	A	TECH	[US]	-	-	-	-	-	F	-	-	-
S55129	1998-067UW	SPORT	2022 Nov 26 	2023 Mar	*	*	-	ITA	-	-	-	A	TECH	[BR]	-	-	-	-	-	S	-	-	-
S55130	1998-067UX	PetitSat	2022 Nov 26 	2022 Dec 29	2023 Mar?	2023 Mar?	-	GSFC Cube	-	-	-	A	SCI	[US]	-	-	-	-	-	S	-	-	-
S55131	2023-002A	Shi Jian 23	2023 Jan  8 	2023 Mar  9	*	*	-	SJ GEO	-	-	-	C	COM	[CN]	-	-	-	-	-	S	-	-	-
S55133	2023-003A	Keji-1	2023 Jan  9 	2023 Mar  9	*	*	-	Xiamen T	-	-	-	A	TECH	[CN]	-	-	-	-	-	S	-	-	-
S55134	2023-003B	Tianmu-1 qixiang xing	2023 Jan  9 	2023 Jan  9	*	*	-	Tianmu	-	-	-	B	MET	[CN]	-	-	-	-	-	S	-	-	-
S55135	2023-003C	Tianmu-1 qixiang xing	2023 Jan  9 	2023 Jan  9	*	*	-	Tianmu	-	-	-	B	MET	[CN]	-	-	-	-	-	S	-	-	-
S55136	2023-003D	Tianqi Xingzuo 13	2023 Jan  9 	2023 Jan  9	*	*	-	Tianqi	-	-	-	B	COM	[CN]	-	-	-	-	-	S	-	-	-
S55137	2023-003E	Nantong Zhongxue Hao	2023 Jan  9 	2023 Jan  9	*	*	-	SWK	-	-	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55138	2022-144E	USA 340	2022 Nov  1 	2023 Jan	*	*	-	ESPASAT	-	-	-	D	TECH	[US]	-	-	-	-	-	S	-	-	-
S55139	2022-144F	USA 341	2022 Nov  1 	2023 Jan	*	*	-	ESPASAT	-	-	-	D	TECH	[US]	-	-	-	-	-	S	-	-	-
S55140	2023-004A	OWLID 00505	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55141	2023-004B	OWLID 00506	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55142	2023-004C	OWLID 00507	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55143	2023-004D	OWLID 00508	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55144	2023-004E	OWLID 00509	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55145	2023-004F	OWLID 00510	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55146	2023-004G	OWLID 00511	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55147	2023-004H	OWLID 00512	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55148	2023-004J	OWLID 00513	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55149	2023-004K	OWLID 00514	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55150	2023-004L	OWLID 00515	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55151	2023-004M	OWLID 00516	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55152	2023-004N	OWLID 00517	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55153	2023-004P	OWLID 00518	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55154	2023-004Q	OWLID 00519	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55155	2023-004R	OWLID 00520	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55156	2023-004S	OWLID 00521	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55157	2023-004T	OWLID 00522	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55158	2023-004U	OWLID 00523	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55159	2023-004V	OWLID 00524	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55160	2023-004W	OWLID 00525	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55161	2023-004X	OWLID 00526	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55162	2023-004Y	OWLID 00527	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55163	2023-004Z	OWLID 00528	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55164	2023-004AA	OWLID 00529	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55165	2023-004AB	OWLID 00530	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55166	2023-004AC	OWLID 00531	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55167	2023-004AD	OWLID 00532	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55168	2023-004AE	OWLID 00533	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55169	2023-004AF	OWLID 00534	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55170	2023-004AG	OWLID 00535	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55171	2023-004AH	OWLID 00536	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55172	2023-004AJ	OWLID 00537	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55173	2023-004AK	OWLID 00538	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55174	2023-004AL	OWLID 00539	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55175	2023-004AM	OWLID 00540	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55176	2023-004AN	OWLID 00541	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55177	2023-004AP	OWLID 00542	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55178	2023-004AQ	OWLID 00543	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55179	2023-004AR	OWLID 00544	2023 Jan 10 	2023 Mar	*	*	-	OneWeb	1 X	P	M	B	COM	UK	ST/SG/SER.E/1093	  109.4 	    1185	    1217	 87.9 	S	-	-	-
S55180	2023-002C	SJ-23 adapter?	2023 Jan  9 	2023 Jan 16	*	*	-	TJS-3	-	-	M	D	TECH	[CN]	-	-	-	-	-	S	-	-	-
S55181	1998-067UY	SuryaSat	2022 Nov 26 	2023 Feb 11	2023 Apr?	2023 Apr?	-	Surya	-	-	-	A	TECH	[ID]	-	-	-	-	-	S	-	-	-
S55182	1998-067UZ	HSKSAT-1	2022 Nov 26 	2023 Mar	*	*	-	HaradaSeiki	-	-	-	B	TECH	[J]	-	-	-	-	-	S	-	-	-
S55183	1998-067VA	OPTIMAL-1	2022 Nov 26 	2023 Jan  6	*	*	-	ArkEdge	-	-	-	B	TECH	[J]	-	-	-	-	-	S	-	-	-
S55239	2023-005A	Apstar 6E	2023 Jan 12 	2023 Mar	*	*	-	Apstar	-	-	M	B	COM	[CN]	-	-	-	-	-	S	-	-	-
S55242	2023-006A	Shiyan 22 A xing	2023 Jan 13 	2023 Jan 13	*	*	-	SW22	-	-	-	D	TECH	[CN]	-	-	-	-	-	S	-	-	-
S55243	2023-006B	Shiyan 22 B xing	2023 Jan 13 	2023 Jan 13	*	*	-	SW22	-	-	-	D	TECH	[CN]	-	-	-	-	-	S	-	-	-
S55244	2023-006C	Yaogan 37 01 xing	2023 Jan 13 	2023 Mar	*	*	-	YG-37	-	-	-	D	IMG?	[CN]	-	-	-	-	-	S	-	-	-
S55246	2022-144G	LINUS-A 1	2022 Nov  1 	2023 Apr	*	*	-	LM Tech	-	-	-	B	TECH	[US]	-	-	-	-	-	S	-	-	-
S55247	2022-144H	LINUS-A 2	2022 Nov  1 	2023 Apr	*	*	-	LM Tech	-	-	-	B	TECH	[US]	-	-	-	-	-	S	-	-	-
S55248	2023-007A	Qilu-2	2023 Jan 15 	2023 Feb	*	*	-	Qilu	-	P	-	C	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55249	2023-007B	Qilu-3	2023 Jan 15 	2023 Jan 15	*	*	-	Qilu	-	P	-	C	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55250	2023-007C	Luojia-3 01 xing	2023 Jan 15 	2023 Jan 15	*	*	-	Wuhan	-	-	-	A	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55251	2023-007D	Jilin-1 GaoFen 03D-34	2023 Jan 15 	2023 Jan 15	*	*	-	Jilin-1 GF	-	P	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55252	2023-007E	Jilin-1 Mofang 02A03	2023 Jan 15 	2023 Jan 15	*	*	-	Jilin-1 MF	-	-	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55253	2023-007F	Jilin-1 Mofang 02A04	2023 Jan 15 	2023 Jan 15	*	*	-	Jilin-1 MF	-	-	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55254	2023-007G	Jilin-1 Mofang 02A07	2023 Jan 15 	2023 Jan 15	*	*	-	Jilin-1 MF	-	-	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55255	2023-007H	Haihe-1	2023 Jan 15 	2023 Jan 15	*	*	-	Jilin-1 HW	-	P	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55256	2023-007J	Wofuman	2023 Jan 15 	2023 Jan 15	*	*	-	Jilin-1 HW	-	P	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55257	2023-007K	Beiyou-1	2023 Jan 15 	2023 Jan 15	*	*	-	BUPT	-	-	-	B	TECH	[CN]	-	-	-	-	-	S	-	-	-
S55258	2023-007L	Jin Zijing 6	2023 Jan 15 	2023 Jan 15	*	*	-	Bauhinia	-	-	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55259	2023-007M	Jin Zijing 3	2023 Jan 15 	2023 Jan 15	*	*	-	Bauhinia	-	-	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55260	2023-007N	Jin Zijing 4	2023 Jan 15 	2023 Mar	*	*	-	Bauhinia	-	-	-	B	IMG	[CN]	-	-	-	-	-	S	-	-	-
S55261	2023-007P	Tianzhi-2D	2023 Jan 15 	2023 Mar	*	*	-	Tianzhi	-	-	-	C	COM	[CN]	-	-	-	-	-	S	-	-	-
S55263	2023-008A	CBAS-SATCOM 2	2023 Jan 15 	2023 Mar  9	*	*	-	CBAS	-	-	M	D	COM*	[US]	-	-	-	-	-	S	-	-	-
S55264	2023-008B	LDPE 3A	2023 Jan 15 	2023 Jan 16	*	*	-	LDPE	-	-	-	D	TECH	[US]	-	-	-	-	-	S	-	-	-
S55268	2023-009A	GPS III SV06	2023 Jan 18 	2023 Mar	*	*	-	GPS III	-	P	M	D	NAV	[US]	-	-	-	-	-	S	-	-	-
S55269	2023-010A	Starlink-5277	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55270	2023-010B	Starlink-5301	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55271	2023-010C	Starlink-5306	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55272	2023-010D	Starlink-5310	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55273	2023-010E	Starlink-5291	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55274	2023-010F	Starlink-5236	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55275	2023-010G	Starlink-5260	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55276	2023-010H	Starlink-5261	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55277	2023-010J	Starlink-5299	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55278	2023-010K	Starlink-5289	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55279	2023-010L	Starlink-5323	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55280	2023-010M	Starlink-5331	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55281	2023-010N	Starlink-5298	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55282	2023-010P	Starlink-5330	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55283	2023-010Q	Starlink-5317	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55284	2023-010R	Starlink-5337	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55285	2023-010S	Starlink-5332	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55286	2023-010T	Starlink-5338	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55287	2023-010U	Starlink-5341	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55288	2023-010V	Starlink-5311	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55289	2023-010W	Starlink-5320	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55290	2023-010X	Starlink-5266	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55291	2023-010Y	Starlink-5327	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55292	2023-010Z	Starlink-5325	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55293	2023-010AA	Starlink-5287	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55294	2023-010AB	Starlink-5286	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55295	2023-010AC	Starlink-5293	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
S55296	2023-010AD	Starlink-5285	2023 Jan 19 	2023 Mar  1	*	*	-	Starlink 1.5 G2	2 1	P	M	B	COM	[US]	-	-	-	-	-	S	-	-	-
